Subject,AverageStudyTime,AverageBreakTime,PredictedGrade,PredictedKnowledgeLevel
English,105,21,62,1
Math,72,10,73,5
Science,35,19,98,2
History,83,20,80,3
English,35,27,73,2
History,116,27,66,2
Math,115,29,86,3
Math,65,23,79,5
English,42,26,82,2
Science,81,18,73,3
Science,109,25,83,1
History,80,23,65,3
Math,92,6,79,4
History,114,23,78,4
Math,111,30,86,3
Science,30,7,83,4
Science,114,30,83,3
Math,85,5,100,1
Science,102,24,71,2
Science,87,23,83,4
Math,85,7,88,2
Math,109,14,60,2
Math,79,18,100,1
History,96,28,62,4
History,119,10,67,2
Math,117,24,81,4
History,42,10,90,5
Math,43,25,80,2
English,100,20,74,4
Math,40,30,66,4
Science,77,6,70,4
Science,46,22,61,5
Math,51,8,60,2
History,63,22,98,5
History,120,6,77,5
Math,79,26,78,3
English,67,8,86,5
Math,69,11,93,1
Science,35,27,61,2
History,76,20,90,3
English,44,18,71,1
English,105,25,82,4
History,38,10,85,1
History,45,25,93,3
English,35,20,81,3
English,103,20,99,2
Science,40,25,62,3
History,95,20,73,5
Science,103,13,68,2
Math,114,22,88,5
Math,58,20,97,5
Science,60,14,65,5
History,39,30,70,1
English,70,14,79,4
Math,104,29,70,2
History,69,18,70,1
Science,88,30,65,1
Math,56,5,94,4
Science,78,26,65,3
Math,99,11,99,1
Math,30,17,89,1
Math,117,11,75,1
Math,116,20,71,4
History,36,6,64,1
History,74,27,82,1
History,118,28,93,1
English,115,22,90,4
Math,88,29,100,1
History,56,24,69,4
Math,96,7,74,1
History,77,20,99,2
Math,75,10,95,1
History,120,23,68,2
Math,90,15,84,3
Math,47,10,93,3
Math,36,22,79,1
English,61,9,91,2
Math,31,21,72,3
Science,47,18,88,3
English,58,6,73,4
Math,66,20,62,1
History,33,27,93,5
History,73,25,87,2
Math,84,17,72,3
Science,45,8,97,4
Science,71,22,61,2
English,32,23,93,2
English,104,8,86,3
English,33,10,68,1
Science,116,13,68,5
History,35,5,71,5
History,44,15,96,3
English,119,20,77,4
History,66,26,91,1
English,115,20,76,4
History,63,24,69,1
Science,37,15,65,4
History,116,28,83,5
Science,89,18,97,4
Math,43,23,73,2
English,83,18,89,5
History,114,28,67,4
English,114,25,89,1
English,72,6,99,4
Math,102,7,92,3
Math,73,19,69,2
Math,103,24,85,4
Math,109,18,90,1
History,84,12,97,4
Science,104,14,74,3
Science,45,26,98,5
Math,71,20,99,5
History,41,5,99,3
Science,84,7,81,1
Math,91,29,95,1
Science,35,11,99,2
History,70,5,99,3
English,49,20,92,4
History,80,10,82,4
Science,90,23,83,3
Math,97,7,93,1
Science,56,18,82,5
Math,38,9,65,5
Science,54,9,98,1
Math,89,29,76,3
Science,79,28,74,1
History,39,12,75,3
Science,104,19,98,5
English,59,22,76,4
Math,30,12,80,3
History,37,6,100,5
English,67,12,67,1
Math,73,15,76,2
Math,57,23,99,1
History,107,9,91,4
Math,47,12,61,1
Math,47,25,89,1
Math,74,28,60,5
Science,48,27,89,4
English,106,26,66,5
Math,66,11,92,1
History,115,18,87,3
Math,117,21,81,1
History,68,13,64,5
Science,52,25,67,2
History,117,10,64,3
Math,79,6,89,1
Science,105,30,96,4
Math,67,16,71,5
Math,76,30,60,4
History,87,28,91,5
English,94,18,69,3
Science,100,22,85,5
History,52,23,81,3
Science,97,29,73,2
Science,67,20,81,2
Math,44,26,89,1
History,103,15,69,3
English,55,10,92,2
History,30,16,81,5
History,75,18,63,3
English,50,11,98,3
English,34,7,99,4
History,37,26,75,5
Math,62,17,87,2
Science,99,18,76,4
English,33,22,94,1
English,114,7,69,4
Math,42,9,78,5
English,48,22,91,2
English,42,9,96,1
Math,34,10,98,3
Math,117,30,80,2
English,91,18,60,1
Math,44,22,90,3
Math,43,16,99,5
Math,98,30,91,3
Math,117,6,68,2
Science,78,17,84,3
English,113,14,85,4
English,118,6,88,2
Math,113,24,98,4
History,60,10,73,1
Math,80,26,61,1
Science,95,20,75,1
Science,42,9,92,3
History,49,12,75,4
English,89,26,97,3
Science,102,27,73,2
English,65,25,97,1
History,95,12,66,4
Science,58,17,92,3
Science,113,26,97,4
History,70,12,93,4
Math,44,20,71,2
English,94,14,100,2
Math,41,30,89,5
Math,67,27,88,1
Science,43,27,95,3
History,86,27,96,5
History,92,25,95,3
Math,116,15,81,1
Science,92,25,96,2
English,70,28,92,3
Math,100,5,82,1
Science,99,9,76,5
History,117,9,80,1
English,43,21,90,3
History,120,27,64,3
Math,65,12,64,2
Science,116,13,75,5
Science,30,26,96,5
English,54,5,74,5
English,53,9,89,1
English,65,6,95,4
English,45,23,90,5
Math,72,5,85,2
Science,61,10,98,2
History,58,22,94,2
Science,93,8,67,2
Science,32,17,81,3
History,75,17,61,3
Math,47,9,89,1
English,33,19,94,2
English,104,8,87,4
English,66,30,61,1
Science,50,14,90,1
Math,110,7,66,1
History,118,27,63,4
English,41,27,63,3
Math,110,14,95,2
English,68,24,82,1
History,95,14,85,3
Math,112,18,77,4
History,30,8,69,4
Math,119,19,100,2
History,79,22,61,1
English,30,25,73,2
Science,112,13,69,5
English,72,9,61,1
Math,93,14,61,5
English,120,5,66,2
History,42,21,79,3
History,81,26,62,5
English,56,18,77,4
History,106,14,66,2
Science,76,12,68,1
English,35,5,94,5
History,42,23,89,5
Science,40,13,71,3
English,31,20,64,1
Science,105,21,93,3
Math,43,11,71,4
History,101,5,93,5
Science,58,25,81,4
English,65,23,84,1
Math,56,5,60,1
English,55,12,73,2
English,66,26,99,1
History,119,25,64,4
Math,39,26,88,4
History,118,11,70,1
History,40,7,82,5
Science,119,6,89,5
Math,95,18,68,5
Science,78,19,77,2
English,50,8,69,4
Math,36,17,88,5
Math,101,10,60,3
History,113,28,83,4
English,91,20,88,4
Math,34,10,93,3
Science,32,26,86,2
History,118,21,79,4
Science,102,25,78,4
Science,33,12,76,3
Math,107,7,84,3
English,110,7,77,5
Science,55,14,98,1
Science,61,17,82,4
History,62,17,98,5
English,44,22,92,4
History,80,27,77,4
Science,80,5,62,5
Science,84,26,81,3
Science,62,24,87,3
English,89,18,95,2
Math,85,10,80,4
History,103,22,78,5
Science,32,28,95,5
History,101,27,65,2
Science,39,8,97,5
English,76,22,90,2
Science,98,30,75,2
Math,108,24,86,3
Math,87,16,77,5
Science,85,19,77,3
History,106,26,92,2
History,48,11,84,1
English,30,19,95,5
English,56,17,71,1
History,78,8,75,5
English,65,15,78,1
History,76,13,74,3
Science,32,29,67,3
Math,73,17,67,2
Math,93,8,92,1
Math,101,28,100,3
English,91,17,80,4
Science,52,27,97,2
Math,53,20,69,4
English,42,19,97,2
Science,104,10,66,3
Science,98,14,76,2
Math,34,14,62,2
History,42,21,62,5
English,71,15,77,5
History,48,16,68,3
Math,44,22,75,2
Science,104,22,96,1
Math,42,6,81,5
Science,105,24,93,3
English,44,20,91,1
English,88,23,85,4
Math,55,11,77,3
History,92,18,82,3
English,115,20,100,3
History,100,24,65,1
History,115,14,90,5
English,91,29,70,3
English,104,30,63,1
English,118,30,72,4
Science,84,13,60,5
Science,73,8,89,5
Science,65,27,64,2
Science,40,18,73,5
History,101,22,82,1
Math,62,23,97,2
English,78,8,99,3
English,56,27,63,4
Science,114,20,84,1
English,90,9,65,2
Science,96,21,92,2
Science,32,21,82,3
Math,35,10,78,3
Math,59,29,95,1
Math,118,28,61,1
English,98,14,82,3
Math,76,22,100,1
English,120,20,90,4
Science,59,12,90,1
English,59,27,72,5
History,97,27,95,4
Science,62,22,86,4
Math,47,20,76,5
English,82,30,86,2
Science,114,29,81,2
English,117,12,91,3
English,83,24,99,3
History,92,16,76,3
Math,60,16,69,5
Math,112,18,86,1
Science,118,7,78,5
History,89,28,68,4
Science,75,27,81,5
Math,30,11,69,5
History,79,5,61,4
English,39,21,69,1
Math,111,6,83,1
Math,61,20,90,4
Math,85,17,93,4
History,66,25,98,1
Science,105,29,73,1
History,47,16,79,2
Science,71,18,73,5
English,30,24,70,4
Science,60,12,91,3
Math,97,5,97,3
English,31,18,77,5
Science,115,7,89,1
English,71,16,84,4
Science,109,30,85,5
Science,104,29,76,1
Math,94,9,83,2
History,55,23,63,5
English,89,12,66,3
History,47,23,60,2
Science,86,19,67,4
History,37,28,74,1
History,116,20,85,1
History,74,27,85,2
Science,62,20,86,1
English,74,14,83,2
History,94,11,92,1
History,107,24,61,2
Science,98,22,79,5
Math,110,9,82,4
English,62,21,72,1
Science,109,25,90,2
History,75,5,90,4
Science,57,23,98,3
Science,46,18,73,4
English,102,14,85,3
Math,119,30,67,5
Science,106,9,80,5
History,101,25,72,3
English,79,15,84,2
Math,94,11,100,4
Math,118,12,73,2
English,33,14,83,4
Math,120,7,84,1
Science,84,18,81,5
Science,44,17,95,4
Science,69,29,69,4
English,41,18,79,1
Math,44,14,85,3
History,71,24,75,5
Math,38,21,94,5
Science,83,29,99,2
English,103,23,97,2
Science,101,17,69,5
Science,105,8,87,5
English,81,21,77,2
Math,43,10,76,4
Math,95,29,80,4
Science,75,11,95,5
History,99,20,61,3
History,80,21,63,5
Math,63,27,81,3
Math,79,18,79,5
History,33,10,100,3
History,119,23,83,1
Math,50,29,82,3
Science,85,14,71,5
Math,119,15,80,3
Math,79,25,78,5
Math,102,9,77,2
English,65,16,92,3
Science,62,18,93,5
History,65,21,61,5
Math,62,26,73,4
English,43,26,89,3
History,75,16,92,1
English,44,26,79,4
Science,50,26,85,1
History,76,29,99,5
Science,113,21,99,3
Science,31,14,80,1
English,69,26,87,1
English,40,17,63,1
Science,75,7,66,3
History,82,15,62,2
Science,42,18,87,5
English,82,25,63,1
Science,60,29,91,2
Math,108,7,75,4
History,104,29,67,2
Science,85,6,95,4
Science,120,13,72,5
English,60,28,64,5
Math,62,25,68,3
History,113,12,62,3
History,59,7,100,3
History,60,18,78,1
History,69,18,63,4
Science,66,30,66,3
History,38,18,72,1
History,30,15,65,2
History,33,8,82,5
History,67,16,82,3
Science,72,30,96,3
History,64,12,64,4
History,59,18,74,5
History,59,9,79,2
History,90,17,62,4
Science,97,10,65,2
Math,70,16,79,3
Science,45,23,81,1
English,114,18,78,4
Math,32,11,60,5
Science,52,27,69,3
History,111,8,81,4
History,100,18,81,2
History,53,17,90,1
Science,88,17,72,3
English,78,28,78,1
History,110,6,77,4
Math,70,14,71,5
History,74,10,100,4
Science,83,25,81,2
Math,61,26,90,3
Math,70,7,65,2
Math,65,6,75,3
English,30,7,62,5
Math,58,16,79,3
History,54,26,83,2
Science,85,28,63,4
Math,92,29,96,3
English,63,14,68,3
Science,66,23,66,1
Science,89,19,88,5
Science,89,30,92,3
History,114,11,95,4
Science,69,26,79,5
History,56,23,73,5
Math,107,30,75,3
Science,102,21,85,1
English,116,26,65,3
Math,73,28,71,5
History,53,14,78,4
Math,39,19,78,2
Science,85,24,72,5
English,31,17,69,3
Science,80,9,81,1
English,61,9,89,2
History,40,26,63,2
History,48,5,92,4
History,90,16,89,3
English,66,30,61,4
Science,64,14,70,4
English,119,10,98,2
History,36,14,78,2
English,111,21,83,1
Math,109,27,60,1
History,61,25,94,1
Math,110,5,69,1
Science,114,23,66,2
Science,79,10,61,4
English,89,7,87,1
Math,68,11,60,3
History,71,16,100,2
English,62,9,66,1
English,90,22,93,2
Math,68,18,86,3
Math,97,12,60,1
History,101,11,75,5
Math,86,22,75,4
Math,37,7,89,3
History,88,17,61,1
Math,110,27,85,2
English,115,23,96,3
English,91,20,78,3
History,75,22,81,4
English,69,28,61,4
English,92,27,73,4
Math,63,16,95,4
English,85,29,95,3
Science,86,26,100,5
Science,93,8,84,5
History,71,28,89,2
Science,89,17,97,5
Science,93,15,70,2
History,87,13,100,5
History,30,7,79,4
Science,82,18,93,5
English,39,9,77,1
Math,81,12,74,4
Science,39,17,88,2
History,93,15,98,1
History,33,9,71,1
History,85,13,83,5
English,73,13,99,5
Science,76,26,98,3
Math,59,7,78,5
English,65,24,64,3
Math,107,10,71,2
Science,32,26,77,1
Math,114,11,74,5
History,83,28,68,3
History,73,11,79,2
Math,114,30,86,1
English,47,29,96,2
English,61,28,80,5
Science,73,21,99,3
History,49,29,84,2
Math,71,5,77,2
History,97,6,87,4
English,103,26,72,2
English,102,7,84,3
Math,66,29,76,2
English,43,26,66,5
Math,38,5,89,1
Math,45,16,89,4
Science,110,15,61,2
History,119,5,80,3
Math,114,28,96,3
English,120,5,61,2
History,53,19,84,3
English,30,21,63,5
History,118,28,84,3
History,42,16,83,5
English,73,14,85,5
History,31,9,64,4
English,90,12,97,2
English,88,16,72,2
Math,88,12,93,1
Math,57,9,64,3
History,49,14,70,1
Science,52,24,96,5
History,65,13,93,1
History,85,6,78,1
History,66,21,88,4
Math,43,12,91,4
Math,71,20,61,4
Math,114,12,79,5
Math,107,18,63,3
History,119,16,67,2
English,87,13,90,4
English,57,13,96,1
History,60,26,74,2
Science,92,18,92,3
English,35,26,84,5
English,73,9,91,3
Math,66,26,68,4
Science,57,12,62,5
History,82,21,80,5
History,108,20,82,1
English,105,23,90,1
Math,99,19,94,2
Science,90,20,82,4
Math,63,26,70,4
English,88,23,70,3
English,48,17,80,2
Math,90,11,79,5
Math,81,20,94,1
English,68,19,72,4
Science,79,28,82,5
History,36,5,92,1
English,48,23,77,4
Math,101,14,86,4
Science,118,6,78,2
Math,70,16,89,4
Math,71,10,83,5
English,112,21,90,4
Science,60,13,62,5
History,91,29,69,3
History,38,27,84,5
Science,72,24,96,3
Math,65,23,65,5
English,117,16,80,3
History,68,9,90,3
English,65,15,85,2
Math,71,29,74,3
Science,60,7,62,4
Math,41,23,76,3
English,79,21,65,1
Math,90,15,61,1
English,34,5,84,2
History,82,14,75,2
History,83,15,68,5
Math,40,21,99,5
Science,40,11,86,4
English,98,5,90,1
Science,117,6,87,2
Science,48,12,73,2
Science,115,10,89,2
Science,36,25,70,4
History,119,18,73,4
History,109,18,94,2
Math,89,12,83,5
English,41,9,61,3
English,75,11,74,4
English,119,14,80,2
Math,49,27,98,1
English,33,20,82,4
Math,102,21,87,4
Science,34,16,81,5
Science,31,12,77,3
English,68,12,71,5
Science,109,23,75,1
Math,67,6,64,4
English,114,25,80,2
Math,80,16,62,5
Math,77,30,94,4
English,103,6,100,3
Math,76,25,91,2
Science,50,26,71,2
History,107,7,78,2
History,35,9,62,4
Math,39,23,96,3
English,73,13,69,2
Science,55,28,72,3
Math,39,14,84,3
Science,35,26,70,5
English,30,26,86,3
Math,37,5,66,5
Science,63,6,85,5
Science,75,27,84,4
History,93,18,100,2
English,48,11,89,1
Math,49,12,97,3
History,113,21,68,1
History,109,14,100,2
English,99,18,81,5
English,49,19,81,3
Science,81,16,95,5
English,109,14,87,5
History,98,11,66,5
Math,32,13,61,2
English,113,11,100,1
Science,79,12,90,1
English,78,11,64,2
History,53,17,77,3
English,102,16,86,3
History,111,6,76,1
English,75,8,89,5
Math,89,28,77,2
English,45,6,83,2
Math,76,13,98,4
Math,107,10,68,2
Math,87,10,74,3
Science,46,21,88,4
Math,114,26,79,3
Math,65,29,64,2
Science,100,26,93,5
English,51,20,86,3
History,63,25,74,1
Science,115,19,83,1
Math,51,12,83,1
English,76,24,63,2
Science,44,25,73,5
Science,69,19,100,2
Science,78,19,78,4
Science,98,20,71,1
History,31,23,74,3
Math,76,28,67,3
Science,86,14,77,5
Science,85,6,84,3
English,69,26,67,2
Math,47,7,69,5
English,80,18,60,1
History,35,21,62,2
History,111,25,76,1
English,82,23,82,4
English,103,5,91,4
History,95,14,85,2
English,65,19,95,1
History,72,24,95,1
Science,107,30,78,2
History,70,13,71,2
Math,118,25,67,2
History,74,17,76,5
History,86,10,71,3
Math,80,26,100,3
Math,63,24,65,5
History,62,11,64,3
Math,67,29,98,3
Science,97,25,92,3
History,38,7,81,1
Math,76,6,85,5
Science,108,7,85,5
Math,39,17,78,2
Science,82,22,63,4
English,54,19,66,5
History,81,22,70,2
History,111,15,71,3
English,30,22,85,4
English,87,18,91,3
Science,74,20,78,5
History,60,30,81,2
History,118,17,87,3
History,118,29,66,1
English,106,17,73,1
English,46,27,72,1
Math,98,26,76,2
English,120,29,83,5
Math,56,12,61,2
English,67,5,83,1
Math,94,15,73,5
Science,61,5,75,5
Math,82,24,65,3
Science,47,19,71,3
History,81,17,87,5
History,75,5,79,3
History,104,11,100,3
Math,63,10,81,1
Science,32,13,76,2
History,106,9,90,5
Science,95,26,65,2
Science,68,8,84,4
Science,101,5,88,3
History,58,9,87,2
History,119,12,67,1
History,111,8,86,1
English,113,17,75,3
Science,83,24,69,1
Math,92,25,90,3
Science,47,12,93,5
Math,67,16,88,5
History,92,21,69,3
Math,34,30,76,3
History,103,13,69,1
English,74,16,73,4
Math,69,23,100,5
Math,79,14,74,1
Science,60,14,75,3
Math,43,20,94,5
History,72,13,87,2
History,49,16,87,4
Science,77,11,68,1
History,70,17,81,4
History,102,5,92,4
History,79,6,65,4
Math,78,26,69,3
History,84,27,88,2
Science,118,6,83,5
History,36,25,91,4
Math,113,21,100,3
History,64,28,81,4
Science,52,13,81,5
Science,104,13,82,1
History,72,20,82,2
History,52,23,96,5
Science,97,12,86,4
History,31,20,70,2
Math,49,26,83,4
English,62,29,86,2
Math,52,10,63,1
History,33,26,95,1
Math,90,12,88,5
Science,52,30,62,5
English,47,21,65,3
Math,37,23,72,1
English,90,13,97,5
English,44,29,95,4
History,69,18,94,3
English,104,25,72,5
English,44,30,100,3
English,61,16,66,4
History,53,18,68,2
Science,88,29,76,3
English,111,21,99,3
History,61,19,71,4
History,99,23,76,5
English,54,5,66,3
History,44,5,69,2
English,114,16,78,3
History,72,13,97,4
English,35,6,99,5
History,82,9,73,3
Math,48,10,81,2
Math,102,15,87,2
English,34,14,93,4
Math,77,19,88,4
Math,98,26,84,5
Science,30,9,89,1
History,52,21,66,1
Math,40,6,68,3
History,87,27,68,4
Science,104,18,66,4
History,71,18,65,1
Math,37,30,65,2
History,42,5,87,3
History,43,7,92,2
History,38,11,80,1
Science,35,28,84,3
Math,83,10,89,3
English,111,10,87,2
History,54,30,74,2
English,49,18,88,4
English,57,17,84,3
English,43,27,72,4
Science,120,20,77,1
History,77,15,72,2
History,120,28,72,5
Science,74,19,72,2
Science,96,12,60,5
Math,36,30,93,4
Science,70,17,94,1
History,49,20,66,2
History,100,13,82,2
Math,96,25,89,5
English,40,25,82,5
History,51,5,67,2
English,112,25,96,5
English,64,26,83,1
Science,69,17,95,5
English,120,15,69,5
Science,56,21,64,4
Science,49,14,61,5
Math,114,19,84,3
History,69,7,74,5
Math,99,29,80,4
English,111,8,83,3
Math,85,11,65,1
English,68,11,63,1
History,60,29,76,3
Science,106,15,67,5
English,103,27,82,4
History,33,15,92,2
Science,30,15,97,4
Science,113,17,72,3
History,60,20,79,3
Science,75,14,92,5
Math,109,15,70,4
English,116,6,71,5
Science,61,18,93,2
Math,46,11,72,5
Math,33,25,63,2
Science,41,23,78,4
History,51,13,92,5
History,55,27,94,2
Science,51,8,72,2
Science,66,18,97,4
English,52,6,99,5
Math,80,21,80,3
Science,58,6,80,3
English,85,25,94,2
English,41,23,69,2
Science,120,22,62,5
Math,108,17,64,5
History,72,20,64,5
English,80,7,83,3
History,56,27,92,5
Science,44,10,68,3
Math,78,22,60,3
English,118,27,98,2
Science,107,12,87,1
History,42,24,86,1
History,80,13,84,2
English,38,7,69,1
English,111,28,67,1
English,90,30,100,4
English,114,28,80,2
Math,94,12,78,1
Math,112,10,98,3
History,80,10,86,1
History,92,28,65,3
History,39,25,100,5
History,52,7,95,3
English,64,25,64,5
English,92,23,97,4
Math,38,26,64,2
English,119,10,71,3
Math,37,29,100,3
English,31,28,70,4
Science,68,23,77,4
History,44,21,69,3
Science,99,22,89,5
History,87,14,63,5
English,86,29,63,1
History,109,14,98,1
Science,111,28,99,1
Math,74,7,88,2
Science,81,9,88,5
English,66,29,97,1
Math,70,23,76,3
Math,63,29,77,3
Science,116,17,61,1
Science,99,10,70,2
History,32,14,66,5
English,69,8,69,4
History,41,23,68,4
Science,76,24,83,4
Science,71,29,94,3
Science,59,7,87,2
Math,106,17,82,2
Science,35,26,82,2
History,36,13,68,1
Science,54,16,90,1
English,109,14,90,4
Science,36,5,75,4
English,61,14,82,1
English,94,11,75,3
Math,112,24,80,2
English,48,14,61,4
Science,40,15,76,3
Science,50,28,96,3
Science,45,9,88,3
History,32,25,64,1
English,46,6,97,2
History,38,17,94,3
English,42,19,93,2
Science,70,13,68,4
English,114,9,81,1
English,69,16,85,5
Math,45,23,84,4
Math,119,27,90,3
History,69,30,81,1
English,59,5,82,5
History,35,26,97,4
English,58,11,94,2
Math,30,30,87,3
Science,53,10,64,4
English,61,13,65,5
English,115,18,94,4
English,55,12,89,1
Math,99,5,86,4
Math,56,16,84,3
History,93,7,69,1
History,51,14,92,5
English,32,21,99,5
English,105,28,84,2
History,78,21,91,3
History,115,10,69,3
English,95,7,93,4
Science,56,28,92,1
English,35,26,60,1
History,114,30,68,2
Science,72,7,79,4
Science,44,30,75,5
Math,36,23,91,5
Math,81,22,76,4
Science,57,25,95,5
Math,74,23,61,5
Science,51,27,90,5
English,102,18,81,4
Math,105,12,63,4
Math,53,9,73,2
Math,57,13,83,2
English,101,22,90,2
History,48,17,74,4
Science,100,29,73,5
History,91,30,98,3
Science,60,15,91,4
Math,30,11,67,3
Math,62,7,75,1
Math,98,9,83,2
History,91,22,97,5
English,69,29,81,3
Math,99,23,99,5
English,75,26,84,1
Math,104,15,79,5
Math,107,5,78,3
History,58,26,89,3
English,39,22,92,4
English,106,8,90,2
History,115,15,70,5
Math,75,25,69,1
History,79,13,74,3
English,52,26,81,4
History,94,25,69,4
English,60,27,77,3
History,41,14,70,2
Math,113,21,69,3
English,69,6,62,3
History,39,18,76,3
History,33,30,62,1
History,57,8,82,1
Science,53,23,90,4
English,59,9,71,2
Math,93,23,86,1
Science,92,15,81,4
English,119,19,69,5
History,41,22,96,3
English,52,22,92,1
English,107,9,68,1
Science,110,11,85,1
Math,72,19,96,1
Science,77,17,89,3
English,97,29,96,5
Math,34,18,99,5
Science,40,24,64,5
English,114,14,86,3
English,99,12,87,4
Science,118,11,93,2
Science,97,5,63,5
Science,113,12,69,3
Math,78,20,68,5
English,87,10,70,3
English,67,17,100,3
History,107,16,84,4
Science,79,14,70,1
Science,107,28,67,3
Math,57,11,62,5
Science,73,22,66,2
Math,74,15,66,3
Science,91,21,72,1
Science,91,17,83,5
Science,46,9,68,5
History,106,16,96,5
Science,105,15,91,1
English,102,11,97,3
Science,92,14,81,1
Science,79,26,68,1
Science,108,13,95,1
Math,44,8,60,5
English,55,21,67,5
Math,40,6,86,3
History,98,20,63,3
Math,44,17,78,3
History,53,10,61,1
English,113,27,94,5
History,85,20,71,2
Science,30,7,62,2
English,101,9,82,1
History,56,18,64,3
History,31,17,60,5
Math,66,11,77,2
Science,32,13,67,5
History,108,26,88,4
Science,115,21,74,3
Math,72,7,94,2
Science,102,16,90,4
Science,96,5,65,1
History,60,6,65,4
History,34,27,73,5
English,41,6,98,4
Math,75,16,78,4
English,93,18,95,3
English,59,6,70,1
English,120,10,70,4
Math,109,14,83,3
English,88,12,91,5
Math,84,16,100,2
Math,82,17,76,3
History,58,13,100,2
History,43,16,86,5
Math,43,5,94,5
Science,108,15,81,4
Science,95,15,100,3
Math,84,26,87,4
History,70,27,64,5
History,48,20,63,4
Math,113,21,74,1
Math,55,24,67,5
English,115,11,65,2
Math,75,8,99,1
History,47,8,99,1
Math,49,15,68,5
History,80,26,70,3
English,108,9,67,2
Math,86,21,93,5
History,31,13,81,2
Math,58,6,89,5
History,46,23,79,4
Science,120,16,73,2
Math,101,13,94,3
English,103,30,85,2
History,72,10,95,2
Science,75,5,67,2
English,105,25,96,1
History,111,13,71,4
Science,49,23,87,5
English,52,30,73,1
Math,72,21,69,1
Math,77,14,70,2
Science,119,6,66,2
Science,115,21,76,4
History,39,17,95,2
English,83,9,89,4
History,80,17,82,1
Math,82,20,100,5
History,76,16,93,1
History,85,14,67,3
Math,85,29,73,2
Science,57,30,77,4
History,53,17,65,3
Math,43,26,79,2
Science,52,15,74,1
Science,40,18,89,3
Science,86,17,93,3
Math,80,21,84,2
Math,43,22,91,4
English,33,6,60,3
Science,105,11,62,5
Science,87,30,69,3
History,61,20,79,5
History,119,9,92,2
Science,37,12,98,5
History,56,14,84,1
Math,78,28,63,1
Math,117,24,89,5
History,118,26,67,1
English,52,20,94,3
English,70,6,60,1
Math,63,11,73,4
Math,32,9,75,4
Science,46,9,60,2
History,105,27,64,4
Science,68,6,81,3
History,50,17,78,1
Science,111,19,78,3
English,39,10,88,2
Science,30,24,92,3
Math,120,14,91,3
English,69,15,74,5
Math,90,21,100,1
Math,109,11,71,1
Math,89,15,83,4
Science,118,25,74,2
History,37,26,67,4
English,39,22,76,5
Science,34,10,94,3
Science,100,16,95,3
Math,36,9,63,1
History,34,15,74,4
Math,56,7,61,1
Science,40,8,81,5
